"Group1","Group2","Heterogeneous.Selection_Relative.Diff","Heterogeneous.Selection_Cohen.d","Heterogeneous.Selection_Effect.Size","Heterogeneous.Selection_P.value","Homogeneous.Selection_Relative.Diff","Homogeneous.Selection_Cohen.d","Homogeneous.Selection_Effect.Size","Homogeneous.Selection_P.value","Dispersal.Limitation_Relative.Diff","Dispersal.Limitation_Cohen.d","Dispersal.Limitation_Effect.Size","Dispersal.Limitation_P.value","Homogenizing.Dispersal_Relative.Diff","Homogenizing.Dispersal_Cohen.d","Homogenizing.Dispersal_Effect.Size","Homogenizing.Dispersal_P.value","Drift.and.Others_Relative.Diff","Drift.and.Others_Cohen.d","Drift.and.Others_Effect.Size","Drift.and.Others_P.value","Stochasticity_Relative.Diff","Stochasticity_Cohen.d","Stochasticity_Effect.Size","Stochasticity_P.value"
"normal","half","-0.119803208985983","-0.371458984008696","small","0.377451622548377","-0.0984272354877075","-1.28149631940152","large","0.179395820604179","0.0825158135169175","1.36742188532926","large","0.165023834976165","0.097959266523395","0.769085170458631","medium","0.286137713862286","0.00415495773594297","0.0162496817294751","negligible","0.505784494215506","0.0591562452942999","1.44577053065019","large","0.151995848004152"
"normal","double","0.105306236809642","0.378976514301562","small","0.423216576783423","0.0423118573935762","0.586500240524091","medium","0.33977666022334","-0.0920934695006967","-1.69351369353349","large","0.113447886552113","0.0313836035958317","0.226611160058802","small","0.439232560767439","0.137537128196167","1.93205293938422","large","0.0825339174660825","-0.0249328872851193","-0.729622083818047","medium","0.303955696044304"
"normal","normal_vs_half","-0.0134654304106942","0.00443218784185383","negligible","0.467104532895467","-0.061382222005311","-0.999513156941608","large","0.235528764471236","0.0436356680580001","0.800273390282257","large","0.278132721867278","0.0346330386283806","0.312165934302011","small","0.417101582898417","0.00608937477573881","0.0810104311690543","negligible","0.485960514039486","0.0320212543290268","0.973308662844255","large","0.239004760995239"
"normal","normal_vs_double","0.0872963047757903","0.290800078936019","small","0.45037554962445","0.00628099575250623","0.0753667707697733","negligible","0.48984451015549","-0.0426550594558603","-0.795891669968601","medium","0.288244711755288","0.0444042585267374","0.465576008982789","small","0.374207625792374","0.0704547223055544","1.02987655690798","large","0.234191765808234","-0.00734599675754199","-0.212932733145877","small","0.44989755010245"
"normal","half_vs_double","-0.0386950009965886","-0.108330034941541","negligible","0.435975564024436","-0.0501830001790576","-0.761529099608401","medium","0.288421711578288","-0.00931365194316872","-0.199068844286808","negligible","0.452359547640452","0.0660162193443839","0.651074818298671","medium","0.322217677782322","0.105392945814892","1.59730765662381","large","0.125906874093126","0.0273402502884424","0.787620742779907","medium","0.281569718430282"
"half","double","0.212493420699592","0.963461609676356","large","0.251122748877251","0.136574453729684","1.77524560581471","large","0.103181896818103","-0.167010115462169","-3.26485777191607","large","0.0103109896890103","-0.0687327441231788","-0.59172871811259","medium","0.329465670534329","0.133938680014894","2.04868622478028","large","0.0765579234420766","-0.0826141965832856","-2.1017715992582","large","0.0686749313250687"
"half","normal_vs_half","0.107789206636273","0.523037298435259","medium","0.367557632442368","0.0394676239369144","0.535398828652416","medium","0.354556645443355","-0.0406541149228841","-0.780917288896082","medium","0.291627708372292","-0.0655980890469244","-0.581273924855309","medium","0.329325670674329","0.00194248799531896","0.067773607269635","negligible","0.473857526142474","-0.0280326309711109","-0.730209882992497","medium","0.304155695844304"
"half","normal_vs_double","0.196641136317015","0.871794342051748","large","0.271065728934271","0.104090010192185","1.48204756827995","large","0.143567856432144","-0.121651156041165","-2.52957627399736","large","0.0361589638410362","-0.0560435816866352","-0.464901214080539","small","0.357714642285358","0.066576386642322","1.09074165193684","large","0.220904779095221","-0.0660676804657217","-1.81992261008957","large","0.0977839022160978"
"half","half_vs_double","0.0843730221662007","0.382621349732236","small","0.407235592764407","0.0507931899700098","0.727950830945684","medium","0.304598695401305","-0.0910609418931822","-1.92060967154266","large","0.0876689123310877","-0.0342008585594371","-0.272872188051493","small","0.412119587880412","0.101660382672373","1.71511629469643","large","0.116002883997116","-0.0327103028734279","-0.870399877027212","large","0.271303728696271"
"double","normal_vs_half","-0.117353673416764","-0.558793834827054","medium","0.345005654994345","-0.101096883574898","-1.61129740417257","large","0.127909872090128","0.131710577493255","2.87394089155857","large","0.0210679789320211","0.00335471817802374","0.0679394573498876","negligible","0.482465517534482","-0.132253092063252","-2.30169769668458","large","0.0515109484890515","0.0561557592892323","1.77324039077815","large","0.106564893435107"
"double","normal_vs_double","-0.0197325069768977","-0.135550318650637","negligible","0.462932537067463","-0.0362586017647462","-0.587192256314685","medium","0.333242666757333","0.0516411670977614","1.16294302434719","large","0.204486795513204","0.0134425299625763","0.224502222002455","small","0.438620561379439","-0.0721669051528047","-1.18055089279324","large","0.2004487995512","0.0177170398448307","0.622041336949365","medium","0.327104672895327"
"double","half_vs_double","-0.139926412867935","-0.726014440347803","medium","0.301527698472302","-0.0903715216254758","-1.37705037686415","large","0.164556835443165","0.083558048134907","1.84639598824121","large","0.0971569028430972","0.0357547279574454","0.429097547642916","small","0.37981162018838","-0.0359310629520519","-0.636729250577185","medium","0.322013677986322","0.051591466194773","1.57815678858065","large","0.134198865801134"
"normal_vs_half","normal_vs_double","0.0995862528694153","0.43724404222089","small","0.373968626031374","0.0672776762821225","1.27163166648627","large","0.183082816917183","-0.0844294454984502","-2.02437210765885","large","0.0737179262820737","0.0101217674618505","0.177532487613719","negligible","0.451528548471452","0.0647596935743518","1.21198030127313","large","0.194896805103195","-0.0391320230560953","-1.42774433108085","large","0.154278845721154"
"normal_vs_half","half_vs_double","-0.0255739346228865","-0.176160923309885","negligible","0.448632551367449","0.0117909258608391","0.26348754800582","small","0.427205572794427","-0.052542912576569","-1.31066374494314","large","0.178322821677178","0.0325090685426122","0.411381237608773","small","0.382850617149383","0.0999119724841929","1.99387753162081","large","0.0765439234560765","-0.00481258121555102","-0.198051860865842","negligible","0.446683553316447"
"normal_vs_double","half_vs_double","-0.122613375172081","-0.610950389483746","medium","0.325971674028326","-0.0561487967205912","-0.983837998390796","large","0.242103757896242","0.0336548571382745","0.781651168932146","medium","0.288880711119289","0.0226162171718418","0.252193906247506","small","0.423845576154424","0.0375863600705876","0.683137094689276","medium","0.316737683262317","0.0344854056560151","1.18824369564013","large","0.200713799286201"
